"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Other","Other","","","","2026-01-26","","","","","","","0.856388866901398","","","","","81","100","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indoor Walking","Walk","","","","2026-01-26","","5021.72021484375","","","","","1.03111112117767","1.35612212121084","","","","129","139","","","0.505593131565722","29.15","6","53","0","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-27","","","","","","","0.562222242355347","","","","","98","124","","","","","5","0","0","","","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2026-01-27","","","","","","","0.210277780890465","","","","","145","165","","","","","0","6","6","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-29","","1570.38000488281","","","","","0.347222208976746","1.26337892589124","","","","105","115","","","0.471016361657138","8.26","2","0","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-29","","2047.05004882813","","","","","0.608888864517212","0.936008252779207","","","","82","97","","","0.511978192658692","17.42","","","","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-30","","1159.23999023438","","","","","0.250277787446976","1.28661486152539","","","","105","114","","","0.514368819125758","7.09","0","0","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-30","","2563.97998046875","","","","","0.699166655540466","1.02028650237515","","","","85","118","","","0.519501454062001","20.68","3","0","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-30","","1349.84997558594","","","","","0.344999998807907","1.08946729264402","","","","91","105","","","0.460455129471814","7.87","","","","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-02-01","","4576.4501953125","","","","","1.0636111497879","1.19551990473158","","","","85","111","","","0.758469283700371","67.87","0","0","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-02-01","","1073.4599609375","","","","","0.298888891935349","1.0032336083528","","","","90","106","","","0.429188148328419","5.88","","","","","","","","","","","","","","","","","","","","","",""
