"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Other","Other","","","","2026-01-26","","0","","","","","0.694098293781281","0","","","","112","139","","","","","16","19","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-27","","5972.509765625","","","","","1.03104245662689","1.60899996757507","","107","","98","115","","","0.54742823856195","34.25","17","1","0","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-28","","0","","","","","0.194544732570648","0","","","","97","120","","","","","3","1","0","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-28","","0","","","","","0.471634984016418","0","","","","129","163","","","","","4","17","8","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2026-01-28","","0","","","","","0.024725278839469","0","","","","104","154","","","","","0","0","1","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2026-01-28","","0","","","","","0.167976394295692","0","","","","149","155","","","","","0","0","10","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-30","","3097.39990234375","","","","","0.611231446266174","1.40799999237061","","85","","99","122","","","0.569264355366451","21.67","16","8","0","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2026-01-31","","0","","","","","0.130756661295891","0","","","","120","132","","","","","0","6","0","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-31","","0","","","","","0.242449998855591","0","","","","111","151","","","","","5","5","1","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2026-01-31","","0","","","","","0.270576655864716","0","","","","135","145","","","","","0","8","8","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-31","","0","","","","","0.703258037567139","0","","","","122","157","","","","","10","22","6","","","","","","","","","","","","","","","","","","",""
