"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Breathing","Other","","","","2026-01-26","","","","","","","0.18754917383194","","","","","83","91","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Breathing","Other","","","","2026-01-26","","","","","","","0.184166669845581","","","","","74","93","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Breathing","Other","","","","2026-01-27","","","","","","","0.244614437222481","","","","","76","87","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-27","","0","","","","","1.01199769973755","0","","","","107","138","","","","","21","20","1","","","","","","","","","","","","","","","","","","",""
"Indoor Cycling","Bike","","","","2026-01-27","","0","","","","","0.385801941156387","0","","","","118","141","","","","","4","17","0","","","","","","","","","","","","","","","","","","",""
"Breathing","Other","","","","2026-01-29","","","","","","","0.204216107726097","","","","","84","100","","","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Breathing","Other","","","","2026-01-30","","","","","","","0.259444445371628","","","","","69","82","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Elliptical","Other","","","","2026-01-30","","0","","","","","0.417354166507721","0","","1","","120","162","","","","","6","8","6","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2026-01-30","","0","","","","","0.944803893566132","0","","","","106","132","","","","","24","16","0","","","","","","","","","","","","","","","","","","",""
"Breathing","Other","","","","2026-01-30","","","","","","","0.184166669845581","","","","","73","87","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Breathing","Other","","","","2026-01-31","","","","","","","0.259444445371628","","","","","72","94","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cross Country Skiing","XC-Ski","","","","2026-01-31","","4757.8701171875","","","","","0.747068643569946","1.76900005340576","","","","128","153","","","","","2","29","14","","","","","","","","","","","","","","","","","","",""
"Breathing","Other","","","","2026-01-31","","","","","","","0.184166669845581","","","","","71","81","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Breathing","Other","","","","2026-02-01","","","","","","","0.184166669845581","","","","","76","92","","","","","","","","","","","","","","","","","","","","","","","","","",""
