"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Other","Other","","","","2026-01-26","","","","","","","0.133611112833023","","","","","107","125","","","","","4","1","0","","","","","","","","","","","","","","","","","","",""
"Cardio Hiit","Other","","","","2026-01-26","","","","","","","0.14861111342907","","","","","150","166","","","","","0","2","7","","","","","","","","","","","","","","","","","","",""
"Indoor Walking","Walk","","","","2026-01-26","","2499.88989257813","","","","","0.460833340883255","1.50686551692473","","","","135","150","","","0.460318803236182","10.61","3","14","10","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-26","","","","","","","0.448611110448837","","","","","137","162","","","","","0","16","11","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-27","","","","","","","0.0269444435834885","","","","","126","148","","","","","0","1","1","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-27","","","","","","","0.159166663885117","","","","","100","117","","","","","3","0","0","","","","","","","","","","","","","","","","","","",""
"Indoor Walking","Walk","","","","2026-01-27","","2483.17993164063","","","","","0.47749999165535","1.44454911671939","","","","134","154","","","0.441282326229891","10.11","5","5","16","","","","","","","","","","","","","","","","","","",""
"Cardio Hiit","Other","","","","2026-01-27","","","","","","","0.836666643619537","","","","","139","175","","","","","8","19","23","","","","","","","","","","","","","","","","","","",""
"Indoor Walking","Walk","","","","2026-01-29","","2316.09008789063","","","","","0.422777771949768","1.52174118783878","","","","131","149","","","0.464863038242944","9.91","2","12","9","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-29","","","","","","","0.259166657924652","","","","","106","149","","","","","5","3","0","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-29","","","","","","","0.465000003576279","","","","","132","155","","","","","2","16","9","","","","","","","","","","","","","","","","","","",""
"Indoor Running","Run","","","","2026-01-29","","5159.66015625","","","","","0.531666696071625","2.6957472080721","","145","","145","153","","","0.823499585536679","39.32","0","2","29","","","","","","","","","","","","","","","","","","",""
