"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Walking","Walk","","","","2026-01-26","","0","","","","","0.672222222222222","","","","","107","137","","","","","10","20","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-26","","0","","","","","0.935833333333333","","","","","100","122","","","","","25","13","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-26","","0","","","","","0.505277777777778","","","","","76","101","","","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-26","","0","","","","","0.638333333333333","","","","","88","113","","","","","4","0","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-27","","0","","","","","0.52","","","","","99","134","","","","","10","7","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-27","","0","","","","","0.425833333333333","","","","","88","120","","","","","5","1","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-27","","0","","","","","0.909166666666667","","","","","95","125","","","","","26","7","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-28","","0","","","","","0.942777777777778","","","","","97","128","","","","","18","14","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-28","","0","","","","","0.442222222222222","","","","","90","117","","","","","9","1","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-28","","0","","","","","0.486111111111111","","","","","109","158","","","","","2","5","8","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-28","","0","","","","","0.909722222222222","","","","","98","159","","","","","14","10","4","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-28","","0","","","","","0.656111111111111","","","","","115","147","","","","","9","25","3","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-29","","0","","","","","0.303055555555556","","","","","135","178","","","","","0","12","6","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-29","","0","","","","","0.686666666666667","","","","","76","119","","","","","3","3","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-29","","0","","","","","0.868611111111111","","","","","93","125","","","","","18","1","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-29","","0","","","","","0.431111111111111","","","","","87","107","","","","","5","0","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-29","","0","","","","","0.393333333333333","","","","","110","160","","","","","1","6","5","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-29","","0","","","","","0.458888888888889","","","","","100","117","","","","","13","2","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-30","","0","","","","","0.913888888888889","","","","","104","144","","","","","16","18","2","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-30","","0","","","","","1.09638888888889","","","","","97","146","","","","","11","25","1","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-30","","0","","","","","0.856944444444444","","","","","73","121","","","","","4","1","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-30","","0","","","","","0.361944444444444","","","","","80","107","","","","","2","0","0","","","","","","","","","","","","","","","","","","",""
"Walking","Walk","","","","2026-01-30","","0","","","","","0.553611111111111","","","","","98","133","","","","","10","11","0","","","","","","","","","","","","","","","","","","",""
"Other","Other","","","","2026-01-31","","0","","","","","0.251666666666667","","","","","138","176","","","","","0","6","9","","","","","","","","","","","","","","","","","","",""
